Asset_ID,Asset_Type,Installation_Year,Last_Maintenance_Date,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Priority_Score,Budget_Constraint_Flag,Scheduled_Disposal_Year,RUL
A0226,Transformer,2000,2020-12-24,19518.23,3.82,58,8,58705,0.58,0.78,0.36,21.74,0,2034,1.93
A0227,Circuit Breaker,1996,2022-05-08,2430.3,6.89,33,5,21104,0.76,0.32,0.17,25.42,1,2034,9.27
A0228,Circuit Breaker,2002,2023-09-11,2032.31,3.09,59,7,70603,0.66,0.72,0.49,49.06,1,2026,0.0
A0229,Cable,1995,2024-09-07,19705.34,1.13,95,9,60025,0.52,0.66,0.79,96.61,0,2028,0.0
A0230,Switchgear,1985,2024-08-24,8421.23,7.88,11,7,97264,0.96,0.96,0.66,83.22,1,2026,2.78
A0231,Circuit Breaker,1987,2022-02-05,1655.93,6.61,68,2,33317,0.71,0.93,0.12,28.46,1,2026,7.72
A0232,Transformer,2004,2022-08-11,37932.57,7.86,82,6,32416,0.92,0.79,0.49,36.34,0,2027,9.26
A0233,Switchgear,1997,2021-07-28,23196.89,1.35,68,6,43012,0.76,0.72,0.69,46.45,0,2029,0.63
A0234,Switchgear,2004,2020-09-26,14817.62,8.53,98,9,69045,0.76,0.27,0.53,97.89,0,2028,6.37
A0235,Transformer,1991,2024-09-07,45054.12,6.58,93,5,22400,0.17,0.85,0.39,17.24,0,2026,8.78
A0236,Circuit Breaker,1994,2024-10-21,6248.88,6.07,88,6,49270,0.42,0.43,0.62,35.75,1,2035,5.49
A0237,Transformer,2005,2021-01-24,47817.98,6.62,22,1,73069,0.87,0.27,0.96,72.94,0,2034,3.75
A0238,Switchgear,2005,2020-06-02,16041.35,8.78,66,8,50833,0.31,0.38,0.1,96.39,0,2026,8.49
A0239,Recloser,2011,2020-12-05,44475.98,6.28,44,9,64644,0.2,0.84,0.39,15.57,0,2030,4.19
A0240,Recloser,1989,2023-10-22,30345.67,6.23,6,9,81206,0.39,0.15,0.41,22.74,1,2031,2.48
A0241,Cable,1995,2020-10-18,41422.01,9.92,42,0,70468,0.3,0.46,0.58,22.57,1,2034,7.84
A0242,Transformer,1986,2023-02-08,49208.65,7.81,25,0,60473,0.93,0.49,0.16,2.09,1,2030,6.39
A0243,Transformer,1996,2022-01-27,14776.07,4.98,57,2,46809,0.88,0.04,0.18,60.41,1,2031,4.47
A0244,Cable,2002,2020-05-09,48076.21,7.37,85,2,39328,0.55,0.2,0.29,67.07,1,2025,8.0
A0245,Cable,2005,2024-07-08,19779.35,4.5,55,0,37784,0.16,0.83,0.95,60.25,0,2030,4.82
A0246,Cable,2000,2024-03-01,19582.84,3.06,16,6,24723,0.74,0.83,0.73,7.13,1,2035,4.45
A0247,Switchgear,2001,2024-04-15,17349.16,6.37,95,3,61646,0.66,0.29,0.66,6.92,1,2027,4.6
A0248,Transformer,1986,2019-11-10,27299.68,9.35,14,9,67255,0.97,0.87,0.81,21.04,1,2025,7.5
A0249,Switchgear,1993,2019-08-01,8130.18,9.36,39,1,1074,0.6,0.77,0.14,29.03,0,2032,14.15
A0250,Cable,1994,2023-12-03,27908.72,4.08,28,9,27498,0.4,0.42,0.85,78.65,0,2028,5.36
A0251,Transformer,1986,2021-06-30,27314.39,5.75,96,4,66522,0.57,0.75,0.59,15.94,1,2034,3.39
A0252,Switchgear,1988,2020-05-03,38214.14,2.9,92,5,97881,0.98,0.96,0.34,4.41,0,2032,0.0
A0253,Switchgear,1987,2023-09-24,41765.67,9.96,51,8,21541,0.73,0.46,0.81,39.4,1,2034,12.79
A0254,Cable,2002,2023-10-31,22301.85,9.83,49,3,46929,0.7,0.24,0.8,41.64,0,2035,10.1
A0255,Transformer,2008,2021-07-17,15465.5,6.85,9,1,27028,0.32,0.94,0.84,45.09,0,2028,8.63
A0256,Cable,1997,2021-01-18,13337.08,8.24,58,4,30545,0.77,0.6,0.12,82.69,1,2028,9.89
A0257,Transformer,2010,2023-07-23,10133.88,7.44,45,2,80569,0.78,0.11,0.96,9.8,0,2034,3.95
A0258,Recloser,2009,2023-06-12,3353.56,6.34,22,1,32673,0.39,0.57,0.95,70.39,1,2028,7.47
A0259,Circuit Breaker,2014,2023-05-20,17451.17,1.48,32,0,31974,0.54,0.5,0.36,33.79,1,2030,1.89
A0260,Circuit Breaker,1997,2020-10-10,13877.26,5.09,69,9,59899,0.37,0.86,0.07,31.0,1,2033,3.29
A0261,Circuit Breaker,1996,2023-09-18,48337.66,7.07,87,1,24097,0.33,0.53,0.17,93.25,0,2029,9.18
A0262,Cable,1993,2021-05-28,28106.59,7.1,69,5,94144,0.12,0.26,0.98,24.85,0,2034,2.19
A0263,Recloser,2010,2022-10-22,17690.21,4.36,42,7,65824,0.36,0.68,0.56,64.25,1,2032,1.84
A0264,Transformer,2003,2023-12-19,29233.15,9.48,53,2,24525,0.6,0.54,0.36,27.51,1,2032,11.94
A0265,Switchgear,2014,2021-02-26,7390.24,2.51,96,8,58804,0.1,0.23,0.29,50.71,0,2028,0.4
A0266,Transformer,2013,2023-07-02,22480.17,5.5,59,8,16043,0.35,0.57,0.26,78.63,1,2035,8.16
A0267,Switchgear,1982,2021-03-30,31498.6,7.22,74,1,42846,0.89,0.82,0.66,88.17,0,2034,7.47
A0268,Transformer,2005,2024-07-18,24700.44,7.27,39,7,78261,0.63,0.03,0.42,83.87,0,2033,3.98
A0269,Recloser,2002,2020-08-12,20388.05,6.84,15,9,51227,0.65,0.63,0.96,58.22,0,2033,6.19
A0270,Switchgear,1994,2020-05-31,49695.5,3.48,71,4,54028,0.46,0.35,0.68,24.88,1,2029,2.0
A0271,Cable,1983,2022-03-17,44075.58,2.41,29,3,38383,0.71,0.29,0.79,66.12,1,2030,2.33
A0272,Transformer,2008,2023-12-01,31358.59,6.72,3,9,30483,0.27,0.39,0.3,70.99,0,2029,8.13
A0273,Transformer,2001,2021-07-08,28684.18,6.39,83,4,8265,0.84,0.34,0.09,1.07,1,2027,9.97
A0274,Switchgear,2004,2021-03-13,31222.69,2.61,10,3,23763,0.21,0.83,0.49,43.92,1,2035,4.03
A0275,Cable,1992,2021-07-05,10464.95,7.35,92,7,76652,0.69,0.27,0.32,84.33,0,2032,4.23
A0276,Cable,1997,2020-05-06,20059.32,5.1,29,3,16733,0.41,0.73,0.21,48.96,0,2033,7.63
A0277,Recloser,2012,2020-01-07,2453.25,7.01,79,9,92038,0.77,0.09,0.94,31.14,1,2028,2.3
A0278,Cable,1995,2023-12-09,24039.53,8.54,35,5,38420,0.59,0.95,0.45,87.18,0,2033,9.45
A0279,Cable,1981,2022-05-27,27379.72,2.53,6,1,10247,0.51,0.62,0.18,15.59,1,2033,5.29
A0280,Cable,2014,2024-01-09,11773.61,1.17,12,4,24840,0.25,0.71,0.2,20.64,0,2031,2.24
A0281,Circuit Breaker,2013,2022-04-16,48219.43,8.01,38,5,66149,0.67,0.3,0.29,68.74,0,2032,6.05
A0282,Recloser,2009,2023-08-28,45518.0,6.49,77,4,22058,0.98,0.41,0.99,35.24,1,2027,8.71
A0283,Transformer,1992,2022-05-02,36246.09,7.3,93,1,35929,0.84,0.22,0.27,71.3,1,2029,8.26
A0284,Switchgear,1992,2022-04-15,26902.64,8.54,19,6,85171,0.15,0.93,0.33,15.77,1,2027,4.76
A0285,Transformer,1997,2020-08-01,43563.47,8.23,67,3,92164,0.44,0.49,0.66,25.23,1,2031,3.7
A0286,Recloser,2011,2019-12-02,6967.29,9.65,8,7,32362,0.93,0.63,0.3,15.66,1,2030,11.35
A0287,Switchgear,2011,2021-01-27,39630.23,5.82,8,6,87489,0.55,0.73,0.22,95.29,0,2035,1.37
A0288,Recloser,2014,2022-08-20,6678.63,5.4,84,6,85664,0.7,0.37,0.17,40.54,0,2027,1.06
A0289,Cable,2008,2020-07-03,39813.43,4.62,47,8,48356,0.92,0.72,0.32,33.72,1,2033,3.9
A0290,Switchgear,2008,2020-06-06,14150.49,2.38,4,0,78597,0.89,0.68,0.11,1.42,0,2025,0.0
A0291,Cable,1995,2024-06-17,43915.98,6.15,51,9,7041,0.55,0.71,0.03,15.34,1,2034,9.82
A0292,Transformer,1989,2024-04-30,47230.08,3.49,85,5,79209,0.49,0.49,0.8,42.11,0,2027,0.0
A0293,Transformer,2009,2023-11-21,7865.4,9.29,67,5,62954,0.41,0.38,0.15,6.85,0,2035,7.86
A0294,Switchgear,2004,2024-08-06,23402.44,6.25,45,5,62869,0.75,0.22,0.77,51.07,1,2034,4.34
A0295,Switchgear,1999,2024-05-27,49058.88,6.34,8,5,22059,0.36,0.82,0.79,45.5,1,2035,8.53
A0296,Recloser,1984,2022-10-28,24428.67,4.19,87,9,45722,0.32,0.61,0.54,76.72,1,2031,3.66
A0297,Recloser,1980,2023-11-29,43245.6,1.47,16,6,18548,0.42,0.44,0.31,65.98,0,2027,3.22
A0298,Cable,2009,2019-12-28,29642.21,1.29,77,9,16078,0.26,0.94,0.15,44.59,1,2027,3.26
A0299,Switchgear,1982,2024-07-07,19078.83,4.81,67,5,6419,0.73,0.05,0.73,22.47,1,2026,8.32
A0300,Transformer,1993,2020-04-08,14646.29,1.76,9,0,36490,0.65,0.85,0.6,72.69,1,2033,1.76
A0301,Recloser,2009,2023-02-20,10559.54,6.46,60,2,77086,0.53,1.0,0.65,70.79,1,2035,3.16
A0302,Recloser,1983,2019-10-08,38209.01,8.93,78,1,59760,0.45,0.89,0.02,15.33,1,2028,7.76
A0303,Transformer,1997,2020-10-13,19633.76,8.95,77,5,31337,0.92,0.81,0.92,91.48,1,2034,10.64
A0304,Recloser,2004,2022-10-25,25808.14,6.93,71,7,2468,0.13,0.37,0.07,6.44,0,2030,11.18
A0305,Cable,1980,2023-11-25,24870.11,2.9,15,2,25309,0.79,0.23,0.37,5.5,0,2026,4.21
A0306,Switchgear,1994,2022-10-14,29075.31,8.77,71,9,67344,0.91,0.73,0.4,18.74,0,2033,6.82
A0307,Transformer,1988,2020-03-22,43346.07,8.97,98,7,91283,0.5,0.3,0.01,90.95,0,2031,4.65
A0308,Switchgear,1994,2024-06-26,49046.6,2.77,41,7,73255,0.6,0.18,0.5,52.0,1,2034,0.0
A0309,Recloser,2003,2023-12-18,20675.42,7.64,22,4,82899,0.95,0.79,0.75,78.79,1,2029,3.95
A0310,Recloser,1983,2019-08-16,41462.19,3.58,24,7,29718,0.29,0.31,0.82,22.78,0,2031,4.56
A0311,Transformer,1991,2021-05-01,38344.13,8.22,44,5,95337,0.57,0.91,0.87,49.02,0,2028,3.37
A0312,Cable,1985,2021-05-01,28889.68,9.98,1,4,38841,0.53,0.84,0.49,35.83,0,2034,11.08
A0313,Circuit Breaker,2003,2022-06-25,47824.33,1.27,10,8,74548,0.33,0.85,0.63,82.78,1,2031,0.0
A0314,Transformer,1990,2021-07-02,10423.49,9.08,80,6,84565,0.84,0.77,0.09,2.26,1,2026,5.45
A0315,Circuit Breaker,1992,2023-06-29,5908.58,6.6,72,7,47660,0.91,0.88,0.49,24.38,1,2031,6.27
A0316,Circuit Breaker,2013,2023-06-30,42771.12,9.76,56,0,51281,0.8,0.81,0.16,15.26,0,2028,9.58
A0317,Cable,2004,2022-10-12,22237.92,5.19,89,1,1767,0.28,0.6,0.37,85.92,0,2028,9.23
A0318,Circuit Breaker,1986,2024-03-05,42424.96,8.63,50,7,4895,0.18,0.3,0.33,46.75,0,2025,12.92
A0319,Circuit Breaker,1983,2022-05-12,44707.97,1.56,12,8,59026,0.64,0.89,0.43,40.42,0,2027,0.0
A0320,Cable,1987,2021-01-07,3591.65,4.02,89,3,43968,0.15,0.84,0.57,44.95,0,2029,3.64
A0321,Circuit Breaker,1999,2024-06-03,44231.51,1.6,81,9,41097,0.71,0.47,0.89,97.19,1,2029,1.11
A0322,Circuit Breaker,2008,2020-04-19,22691.79,9.78,60,9,16332,0.58,0.04,0.4,85.03,1,2026,13.11
A0323,Circuit Breaker,1989,2023-08-03,25766.41,8.35,26,8,15621,0.7,0.64,0.97,70.64,1,2028,11.52
A0324,Transformer,2013,2019-11-09,31516.33,8.67,78,3,77870,0.63,0.05,0.75,29.05,1,2025,5.65
A0325,Transformer,2005,2022-08-10,46355.94,9.44,41,9,19174,0.48,0.93,0.51,16.52,1,2033,12.43
A0326,Transformer,1982,2024-08-01,1446.25,1.77,36,9,41502,0.28,0.96,0.64,92.14,0,2025,1.27
A0327,Cable,1985,2022-03-24,24103.75,4.47,23,9,37674,0.38,0.19,0.11,42.31,1,2030,4.79
A0328,Recloser,1984,2020-05-28,34542.24,1.64,43,8,38260,0.57,0.68,0.84,27.88,0,2031,1.45
A0329,Circuit Breaker,1984,2022-10-05,36273.99,2.9,6,6,43498,0.69,0.09,0.58,47.09,1,2027,2.39
A0330,Circuit Breaker,2002,2023-10-16,34780.36,3.06,69,1,68609,0.8,0.73,0.98,91.78,0,2025,0.05
A0331,Cable,1988,2020-02-19,7154.54,5.22,43,8,50464,0.79,0.35,0.63,38.71,0,2031,4.38
A0332,Circuit Breaker,2014,2021-08-25,15320.08,3.42,25,3,72805,0.98,0.68,0.83,56.26,0,2027,0.05
A0333,Transformer,1999,2021-05-01,18256.42,1.91,18,7,65919,0.36,0.37,0.79,80.3,0,2034,0.0
A0334,Recloser,2014,2020-12-05,40319.64,2.51,62,6,55469,0.16,0.15,0.35,42.71,0,2030,0.73
A0335,Switchgear,1997,2023-01-17,14298.61,2.33,13,6,18194,0.41,0.41,0.26,23.35,0,2030,4.26
A0336,Circuit Breaker,1996,2024-08-12,10929.9,9.76,43,7,27811,0.77,0.11,0.43,99.45,1,2028,11.93
A0337,Transformer,2003,2022-06-29,47893.68,7.83,78,0,73377,0.49,0.58,0.47,95.66,0,2035,5.12
A0338,Switchgear,1982,2019-08-11,938.73,9.71,28,4,44723,0.84,0.04,0.25,84.35,0,2030,10.18
A0339,Recloser,2011,2024-08-03,49892.13,4.96,18,1,76235,0.59,0.53,0.89,68.84,1,2035,1.5
A0340,Switchgear,2014,2020-08-18,34002.65,3.51,59,1,77298,0.94,0.89,0.54,29.49,0,2034,0.0
A0341,Transformer,1992,2021-07-06,41509.23,8.18,60,0,60238,0.95,0.84,0.97,91.34,1,2028,6.85
A0342,Switchgear,2004,2020-05-23,15083.66,3.94,63,4,3147,0.16,0.88,0.8,27.56,1,2032,7.64
A0343,Cable,1988,2024-10-25,1208.61,3.69,57,1,99919,0.51,0.92,0.55,80.08,0,2033,0.0
A0344,Switchgear,1983,2023-07-25,37024.54,3.09,92,3,39445,0.65,0.1,0.94,91.83,0,2026,3.01
A0345,Circuit Breaker,1993,2022-10-15,41790.16,2.17,51,2,54803,0.33,0.13,0.5,60.3,1,2031,0.4
A0346,Circuit Breaker,2013,2021-06-25,37153.57,3.31,56,2,62108,0.47,0.56,0.88,80.31,0,2033,1.0
A0347,Cable,1990,2022-05-05,7571.09,4.2,27,1,3013,0.71,0.89,0.36,79.17,1,2033,7.96
A0348,Transformer,1982,2020-09-01,37794.68,7.07,32,5,86617,0.3,0.97,0.38,19.32,0,2029,2.91
A0349,Circuit Breaker,2007,2024-07-07,38561.68,1.56,9,1,83410,0.64,0.05,0.42,66.79,1,2025,0.0
A0350,Recloser,2008,2021-01-12,33097.76,2.89,96,7,54502,0.73,0.36,0.55,9.35,0,2030,1.27
A0351,Circuit Breaker,1988,2022-02-15,38422.74,8.28,84,7,38755,0.18,0.21,0.55,50.79,0,2032,9.12
A0352,Circuit Breaker,1982,2023-02-11,42373.11,2.32,92,4,9733,0.55,0.76,0.5,16.22,1,2025,5.1
A0353,Transformer,2004,2020-05-16,30873.4,4.08,97,9,10479,0.34,0.64,0.31,41.63,1,2026,7.07
A0354,Switchgear,2013,2019-08-24,4885.93,8.78,68,6,76361,0.75,0.12,0.92,83.3,1,2025,5.93
A0355,Circuit Breaker,1991,2024-02-05,24637.58,2.39,46,3,22304,0.27,0.48,0.59,98.72,1,2029,3.92
A0356,Cable,1988,2021-02-18,4343.64,1.74,98,0,36694,0.9,0.69,0.41,31.8,0,2026,1.72
A0357,Switchgear,1994,2024-04-09,20673.38,5.36,67,1,82171,0.49,0.78,0.65,53.2,1,2034,1.37
A0358,Recloser,2004,2023-02-25,20651.77,3.72,26,9,87296,0.28,0.02,0.76,51.13,1,2034,0.0
A0359,Transformer,1984,2023-02-09,3767.49,6.07,8,9,10490,0.49,0.89,0.95,95.44,0,2028,9.38
A0360,Recloser,1990,2024-04-11,17766.62,8.23,6,3,22252,0.47,0.57,0.5,47.86,0,2025,10.71
A0361,Switchgear,2013,2020-02-08,5994.41,2.23,80,0,7862,0.49,0.81,0.12,69.91,1,2031,5.18
A0362,Switchgear,2003,2024-05-14,40507.64,6.23,24,7,70959,0.63,0.81,0.44,92.18,0,2032,3.5
A0363,Switchgear,1994,2024-03-22,47410.56,5.55,48,8,11450,0.57,0.19,0.48,37.34,1,2029,8.68
A0364,Recloser,1987,2023-04-15,4079.67,2.3,94,3,57022,0.23,0.11,0.89,90.21,0,2026,0.33
A0365,Switchgear,1984,2023-02-10,47778.2,6.62,45,9,62991,0.16,0.72,0.4,91.75,1,2032,4.76
A0366,Recloser,2005,2024-04-12,26367.54,3.46,13,2,41927,0.76,0.16,0.94,93.07,0,2025,3.19
A0367,Switchgear,1997,2021-03-05,15328.5,5.39,69,1,89090,0.6,0.85,0.49,27.04,1,2031,0.71
A0368,Cable,1985,2023-06-18,4304.67,1.74,25,4,50853,0.42,0.73,0.96,40.04,1,2025,0.3
A0369,Switchgear,1992,2022-07-27,25280.9,5.14,20,2,32826,0.83,0.84,0.02,87.04,0,2030,6.06
A0370,Recloser,2007,2019-12-09,39828.52,3.76,82,9,43879,0.45,0.3,0.89,35.92,0,2030,3.35
A0371,Circuit Breaker,1984,2019-12-25,35500.78,8.4,82,6,58265,0.82,0.32,0.92,60.03,1,2029,7.3
A0372,Switchgear,1992,2020-11-04,2986.19,1.51,66,5,73361,0.38,0.67,0.95,11.81,1,2026,0.0
A0373,Circuit Breaker,1996,2022-10-25,4108.64,4.77,74,0,78990,0.17,0.03,0.02,5.63,0,2026,1.0
A0374,Cable,2011,2023-06-11,20442.23,5.13,45,7,90787,0.94,0.73,0.18,41.2,0,2033,0.24
A0375,Transformer,2008,2024-05-04,15116.88,7.53,47,1,87184,0.46,0.84,0.65,57.89,0,2029,3.39
A0376,Cable,1982,2023-08-28,12003.02,6.17,63,4,41736,0.81,0.42,0.03,39.27,0,2029,6.36
A0377,Switchgear,2013,2023-09-24,14409.72,7.0,76,8,25530,0.35,0.76,0.07,57.77,0,2031,8.95
A0378,Circuit Breaker,2006,2024-02-24,40272.4,7.99,77,7,79052,0.68,0.17,0.23,51.51,0,2030,4.74
A0379,Circuit Breaker,1992,2020-07-31,46496.79,8.76,55,1,48058,0.89,0.32,0.51,68.57,0,2026,8.74
A0380,Recloser,2012,2020-06-16,20552.58,3.82,75,8,75094,0.14,0.97,0.54,64.95,0,2035,0.29
A0381,Circuit Breaker,1985,2020-11-07,45352.49,5.84,19,4,75255,0.85,0.99,0.04,42.42,0,2025,2.62
A0382,Recloser,2003,2021-01-02,16414.04,8.56,35,9,5886,0.61,0.51,0.18,42.5,1,2029,12.74
A0383,Transformer,1998,2024-09-06,24083.63,9.91,53,5,94721,0.65,0.93,0.5,14.08,0,2028,5.4
A0384,Switchgear,1995,2021-12-31,11688.44,9.01,26,2,38387,0.57,0.52,0.59,51.32,0,2027,10.0
A0385,Recloser,2007,2023-08-30,32203.56,4.34,14,2,22575,0.89,0.29,0.16,58.72,1,2026,6.16
A0386,Transformer,2012,2024-02-29,48959.57,2.76,45,9,40643,0.14,0.27,0.4,47.65,1,2034,2.51
A0387,Circuit Breaker,1992,2020-04-01,30372.91,5.4,44,7,11100,0.33,0.93,0.9,32.57,1,2026,8.54
A0388,Circuit Breaker,2004,2023-10-09,18211.8,7.67,88,9,61356,0.89,0.17,0.99,72.16,1,2028,6.14
A0389,Transformer,2015,2020-03-14,32566.96,5.43,65,9,8856,0.78,0.58,0.98,7.47,1,2026,8.8
A0390,Circuit Breaker,2006,2021-02-25,6584.57,5.35,51,1,39169,0.12,0.56,0.87,91.44,1,2028,5.67
A0391,Transformer,1986,2023-01-07,44488.62,8.54,43,1,29804,0.57,0.74,0.4,2.06,0,2027,10.31
A0392,Recloser,1984,2023-07-07,25402.66,4.25,86,4,36790,0.58,0.5,0.68,96.24,1,2033,4.63
A0393,Recloser,2010,2022-12-31,22742.81,8.74,23,5,31988,0.46,0.27,0.42,46.24,1,2031,10.33
A0394,Transformer,2002,2020-05-24,29500.31,4.66,56,1,77448,0.37,0.17,0.65,41.27,1,2035,1.03
A0395,Recloser,1989,2024-11-14,31426.8,3.95,19,4,39506,0.71,0.62,0.31,25.64,0,2027,4.01
A0396,Recloser,2011,2024-11-10,4052.9,5.09,82,6,88904,0.29,0.72,0.6,1.01,1,2032,0.38
A0397,Recloser,2009,2023-10-17,34289.55,7.86,76,9,68306,0.82,0.57,0.52,27.48,0,2033,5.66
A0398,Cable,2010,2022-01-14,12475.62,2.13,55,9,13305,0.82,0.74,0.03,10.94,1,2031,4.52
A0399,Switchgear,1997,2019-11-29,35840.66,2.77,92,7,10969,0.47,0.14,0.78,65.98,1,2030,5.5
A0400,Circuit Breaker,2015,2024-08-17,41215.47,9.56,92,6,13404,0.36,0.88,0.02,31.91,0,2028,13.14
A0401,Cable,1981,2021-02-11,40295.95,2.58,60,7,9989,0.36,0.58,0.3,76.72,0,2029,5.37
A0402,Recloser,1993,2021-05-08,27848.8,6.11,59,8,66305,0.53,0.13,0.02,20.69,1,2032,3.83
A0403,Transformer,1992,2021-10-08,26248.41,6.21,33,4,36983,0.75,0.46,0.38,90.02,0,2027,6.89
A0404,Recloser,2008,2021-06-29,7572.36,5.41,19,4,40462,0.42,0.84,0.07,52.3,0,2026,5.61
A0405,Switchgear,1991,2021-10-25,38879.63,6.8,28,9,20360,0.65,0.9,0.91,11.45,1,2027,9.24
A0406,Recloser,1981,2024-07-20,13934.76,3.07,52,3,86657,0.44,0.26,0.42,40.08,1,2031,0.0
A0407,Transformer,2011,2023-12-07,25086.42,5.97,49,8,27287,0.37,0.71,0.46,20.68,1,2032,7.58
A0408,Switchgear,1992,2021-08-11,14571.57,4.35,37,4,66472,0.12,0.1,0.35,19.97,0,2025,1.77
A0409,Recloser,2006,2020-04-28,7124.5,6.96,26,1,62313,0.1,0.03,0.62,50.64,1,2031,5.22
A0410,Switchgear,1996,2020-07-09,31663.11,2.27,99,9,35160,0.3,0.56,0.78,67.19,1,2033,2.49
A0411,Circuit Breaker,2010,2024-07-27,3189.44,6.14,98,7,7789,0.47,0.69,0.65,91.16,0,2027,9.73
A0412,Circuit Breaker,2013,2019-09-21,37557.94,2.67,99,6,28181,0.87,0.8,0.74,50.22,0,2027,3.65
A0413,Recloser,2003,2021-05-28,16220.55,3.51,40,7,15385,0.82,0.34,0.9,96.58,1,2032,5.91
A0414,Switchgear,2014,2023-07-07,506.67,2.97,80,2,83597,0.34,0.01,0.86,94.16,0,2028,0.0
A0415,Transformer,1985,2023-09-11,25800.89,2.65,38,3,66641,0.32,0.48,0.67,86.51,1,2032,0.0
A0416,Recloser,1998,2019-08-28,2819.17,8.43,77,4,45247,0.3,0.02,0.22,50.0,0,2029,8.64
A0417,Circuit Breaker,2009,2021-11-01,14170.39,3.57,87,5,87673,0.41,0.09,0.63,14.09,1,2027,0.0
A0418,Circuit Breaker,1986,2020-10-18,35495.34,9.34,54,0,6544,0.55,0.33,0.51,21.79,0,2028,13.58
A0419,Recloser,1989,2021-07-04,3603.14,9.73,22,3,14275,0.49,0.44,0.71,64.77,0,2028,13.25
A0420,Switchgear,2011,2019-11-04,42047.26,6.14,16,9,64248,0.3,0.28,0.83,42.18,0,2032,4.07
A0421,Circuit Breaker,2013,2022-07-13,689.09,2.29,28,4,35550,0.22,0.58,0.74,14.68,0,2030,2.47
A0422,Switchgear,2007,2019-10-01,12717.78,4.37,35,6,54693,0.11,0.06,0.84,47.9,1,2031,2.97
A0423,Circuit Breaker,1994,2020-10-10,37174.75,8.18,60,4,20641,0.24,0.14,0.07,1.74,0,2033,10.81
A0424,Circuit Breaker,2009,2023-08-18,16155.37,4.31,45,0,72749,0.73,0.7,0.04,73.39,1,2030,1.09
A0425,Cable,2008,2022-02-03,5543.67,1.78,46,6,81021,0.32,0.14,0.26,7.36,0,2027,0.0
A0426,Circuit Breaker,2001,2021-01-04,18331.58,6.01,72,7,16605,0.52,0.64,0.89,62.91,0,2027,8.7
A0427,Transformer,1983,2019-09-01,13884.47,8.61,55,6,51713,0.63,0.05,0.82,79.3,1,2035,8.2
A0428,Recloser,1999,2024-02-05,42214.24,8.16,86,3,21390,0.9,0.41,0.68,13.26,0,2027,10.72
A0429,Recloser,2011,2024-04-16,16010.72,2.58,85,7,76403,0.9,0.18,0.7,51.86,0,2034,0.0
A0430,Switchgear,2015,2020-02-13,39552.16,7.05,26,4,59466,0.77,0.11,0.72,77.91,1,2026,5.61
A0431,Circuit Breaker,1983,2022-05-25,44647.67,2.98,85,9,4981,0.13,0.57,0.93,26.06,0,2025,6.34
A0432,Transformer,2006,2021-12-09,21973.96,2.96,25,8,10493,0.62,0.93,0.83,16.29,1,2035,5.76
A0433,Switchgear,1996,2022-05-11,45542.19,8.87,65,9,72218,0.81,0.05,0.62,33.68,0,2034,6.45
A0434,Cable,1991,2024-08-13,19177.24,3.25,6,4,72318,0.12,0.42,0.66,55.47,0,2025,0.0
A0435,Switchgear,2001,2022-01-31,48221.88,3.37,23,0,96335,0.59,0.71,0.22,57.53,0,2028,0.0
A0436,Switchgear,1996,2021-01-16,4919.83,1.01,64,8,17984,0.87,0.46,0.65,13.09,1,2027,2.75
A0437,Circuit Breaker,1989,2023-07-22,34507.45,8.84,87,4,23760,0.53,0.81,0.43,45.76,0,2029,11.27
A0438,Cable,1980,2022-05-16,24943.8,8.13,43,5,92529,0.1,0.18,0.16,26.83,0,2033,3.55
A0439,Switchgear,2001,2023-04-15,19688.62,6.65,23,3,2524,0.11,0.96,0.8,84.2,0,2032,10.85
A0440,Transformer,2005,2024-04-13,31819.24,7.75,96,5,50402,0.47,0.39,0.51,31.36,0,2033,7.33
A0441,Transformer,1997,2023-04-11,35340.93,2.37,30,7,92656,0.24,0.34,0.97,83.87,0,2029,0.0
A0442,Recloser,1993,2024-01-24,715.98,5.12,77,2,66614,0.7,0.87,0.29,42.86,0,2032,2.65
A0443,Cable,2008,2023-05-17,8764.18,4.16,18,4,36891,0.74,0.56,0.48,72.66,0,2028,4.51
A0444,Cable,1991,2022-02-01,35795.78,1.84,87,1,92009,0.26,0.52,0.45,51.01,0,2029,0.0
A0445,Recloser,2015,2024-05-08,33486.08,5.38,79,1,40832,0.9,0.73,0.13,62.2,0,2027,5.54
A0446,Switchgear,2014,2022-01-30,48319.35,9.29,97,6,46836,0.5,0.58,0.43,39.54,1,2029,9.48
A0447,Cable,1991,2020-05-21,38171.37,1.36,21,9,74953,0.23,0.16,0.29,76.82,0,2027,0.0
A0448,Transformer,1986,2020-12-22,47563.25,3.62,57,9,14362,0.79,0.67,0.17,42.52,1,2029,6.14
A0449,Transformer,2008,2020-12-03,35275.75,2.87,23,9,67745,0.81,0.13,0.29,45.75,1,2035,0.0
A0450,Circuit Breaker,1990,2021-02-01,15253.58,3.14,91,5,38921,0.68,0.81,0.24,51.77,1,2029,3.12
A0451,Cable,2012,2022-01-24,5715.56,9.18,45,3,71434,0.87,0.99,0.73,83.18,0,2030,6.89
A0452,Switchgear,1985,2023-04-26,39200.28,5.21,44,4,19562,0.76,0.38,0.04,65.94,1,2033,7.47
