Asset_Type,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Budget_Constraint_Flag,RUL,Days_Since_Maintenance
0,4343.64,1.74,98,0,36694,0.9,0.69,0.41,0,1.72,1910
3,20673.38,5.36,67,1,82171,0.49,0.78,0.65,1,1.37,764
2,20651.77,3.72,26,9,87296,0.28,0.02,0.76,1,0.0,1173
4,3767.49,6.07,8,9,10490,0.49,0.89,0.95,0,9.38,1189
2,17766.62,8.23,6,3,22252,0.47,0.57,0.5,0,10.71,762
3,5994.41,2.23,80,0,7862,0.49,0.81,0.12,1,5.18,2286
3,40507.64,6.23,24,7,70959,0.63,0.81,0.44,0,3.5,729
3,47410.56,5.55,48,8,11450,0.57,0.19,0.48,1,8.68,782
2,4079.67,2.3,94,3,57022,0.23,0.11,0.89,0,0.33,1124
3,47778.2,6.62,45,9,62991,0.16,0.72,0.4,1,4.76,1188
2,26367.54,3.46,13,2,41927,0.76,0.16,0.94,0,3.19,761
3,15328.5,5.39,69,1,89090,0.6,0.85,0.49,1,0.71,1895
0,4304.67,1.74,25,4,50853,0.42,0.73,0.96,1,0.3,1060
3,25280.9,5.14,20,2,32826,0.83,0.84,0.02,0,6.06,1386
2,39828.52,3.76,82,9,43879,0.45,0.3,0.89,0,3.35,2347
1,35500.78,8.4,82,6,58265,0.82,0.32,0.92,1,7.3,2331
3,2986.19,1.51,66,5,73361,0.38,0.67,0.95,1,0.0,2016
1,4108.64,4.77,74,0,78990,0.17,0.03,0.02,0,1.0,1296
0,20442.23,5.13,45,7,90787,0.94,0.73,0.18,0,0.24,1067
4,15116.88,7.53,47,1,87184,0.46,0.84,0.65,0,3.39,739
0,12003.02,6.17,63,4,41736,0.81,0.42,0.03,0,6.36,989
3,14409.72,7.0,76,8,25530,0.35,0.76,0.07,0,8.95,962
1,40272.4,7.99,77,7,79052,0.68,0.17,0.23,0,4.74,809
1,46496.79,8.76,55,1,48058,0.89,0.32,0.51,0,8.74,2112
2,20552.58,3.82,75,8,75094,0.14,0.97,0.54,0,0.29,2157
1,45352.49,5.84,19,4,75255,0.85,0.99,0.04,0,2.62,2013
2,16414.04,8.56,35,9,5886,0.61,0.51,0.18,1,12.74,1957
4,24083.63,9.91,53,5,94721,0.65,0.93,0.5,0,5.4,614
3,11688.44,9.01,26,2,38387,0.57,0.52,0.59,0,10.0,1594
2,32203.56,4.34,14,2,22575,0.89,0.29,0.16,1,6.16,987
4,48959.57,2.76,45,9,40643,0.14,0.27,0.4,1,2.51,804
1,30372.91,5.4,44,7,11100,0.33,0.93,0.9,1,8.54,2233
1,18211.8,7.67,88,9,61356,0.89,0.17,0.99,1,6.14,947
4,32566.96,5.43,65,9,8856,0.78,0.58,0.98,1,8.8,2251
1,6584.57,5.35,51,1,39169,0.12,0.56,0.87,1,5.67,1903
4,44488.62,8.54,43,1,29804,0.57,0.74,0.4,0,10.31,1222
2,25402.66,4.25,86,4,36790,0.58,0.5,0.68,1,4.63,1041
2,22742.81,8.74,23,5,31988,0.46,0.27,0.42,1,10.33,1229
4,29500.31,4.66,56,1,77448,0.37,0.17,0.65,1,1.03,2180
2,31426.8,3.95,19,4,39506,0.71,0.62,0.31,0,4.01,545
2,4052.9,5.09,82,6,88904,0.29,0.72,0.6,1,0.38,549
2,34289.55,7.86,76,9,68306,0.82,0.57,0.52,0,5.66,939
0,12475.62,2.13,55,9,13305,0.82,0.74,0.03,1,4.52,1580
3,35840.66,2.77,92,7,10969,0.47,0.14,0.78,1,5.5,2357
1,41215.47,9.56,92,6,13404,0.36,0.88,0.02,0,13.14,634
0,40295.95,2.58,60,7,9989,0.36,0.58,0.3,0,5.37,1917
2,27848.8,6.11,59,8,66305,0.53,0.13,0.02,1,3.83,1831
4,26248.41,6.21,33,4,36983,0.75,0.46,0.38,0,6.89,1678
2,7572.36,5.41,19,4,40462,0.42,0.84,0.07,0,5.61,1779
3,38879.63,6.8,28,9,20360,0.65,0.9,0.91,1,9.24,1661
2,13934.76,3.07,52,3,86657,0.44,0.26,0.42,1,0.0,662
4,25086.42,5.97,49,8,27287,0.37,0.71,0.46,1,7.58,888
3,14571.57,4.35,37,4,66472,0.12,0.1,0.35,0,1.77,1736
2,7124.5,6.96,26,1,62313,0.1,0.03,0.62,1,5.22,2206
3,31663.11,2.27,99,9,35160,0.3,0.56,0.78,1,2.49,2134
1,3189.44,6.14,98,7,7789,0.47,0.69,0.65,0,9.73,655
1,37557.94,2.67,99,6,28181,0.87,0.8,0.74,0,3.65,2426
2,16220.55,3.51,40,7,15385,0.82,0.34,0.9,1,5.91,1811
3,506.67,2.97,80,2,83597,0.34,0.01,0.86,0,0.0,1041
4,25800.89,2.65,38,3,66641,0.32,0.48,0.67,1,0.0,975
2,2819.17,8.43,77,4,45247,0.3,0.02,0.22,0,8.64,2450
1,14170.39,3.57,87,5,87673,0.41,0.09,0.63,1,0.0,1654
1,35495.34,9.34,54,0,6544,0.55,0.33,0.51,0,13.58,2033
2,3603.14,9.73,22,3,14275,0.49,0.44,0.71,0,13.25,1774
3,42047.26,6.14,16,9,64248,0.3,0.28,0.83,0,4.07,2382
1,689.09,2.29,28,4,35550,0.22,0.58,0.74,0,2.47,1400
3,12717.78,4.37,35,6,54693,0.11,0.06,0.84,1,2.97,2416
1,37174.75,8.18,60,4,20641,0.24,0.14,0.07,0,10.81,2041
1,16155.37,4.31,45,0,72749,0.73,0.7,0.04,1,1.09,999
0,5543.67,1.78,46,6,81021,0.32,0.14,0.26,0,0.0,1560
1,18331.58,6.01,72,7,16605,0.52,0.64,0.89,0,8.7,1955
4,13884.47,8.61,55,6,51713,0.63,0.05,0.82,1,8.2,2446
2,42214.24,8.16,86,3,21390,0.9,0.41,0.68,0,10.72,828
2,16010.72,2.58,85,7,76403,0.9,0.18,0.7,0,0.0,757
3,39552.16,7.05,26,4,59466,0.77,0.11,0.72,1,5.61,2281
1,44647.67,2.98,85,9,4981,0.13,0.57,0.93,0,6.34,1449
4,21973.96,2.96,25,8,10493,0.62,0.93,0.83,1,5.76,1616
3,45542.19,8.87,65,9,72218,0.81,0.05,0.62,0,6.45,1463
0,19177.24,3.25,6,4,72318,0.12,0.42,0.66,0,0.0,638
3,48221.88,3.37,23,0,96335,0.59,0.71,0.22,0,0.0,1563
3,4919.83,1.01,64,8,17984,0.87,0.46,0.65,1,2.75,1943
1,34507.45,8.84,87,4,23760,0.53,0.81,0.43,0,11.27,1026
0,24943.8,8.13,43,5,92529,0.1,0.18,0.16,0,3.55,1458
3,19688.62,6.65,23,3,2524,0.11,0.96,0.8,0,10.85,1124
4,31819.24,7.75,96,5,50402,0.47,0.39,0.51,0,7.33,760
4,35340.93,2.37,30,7,92656,0.24,0.34,0.97,0,0.0,1128
2,715.98,5.12,77,2,66614,0.7,0.87,0.29,0,2.65,840
0,8764.18,4.16,18,4,36891,0.74,0.56,0.48,0,4.51,1092
0,35795.78,1.84,87,1,92009,0.26,0.52,0.45,0,0.0,1562
2,33486.08,5.38,79,1,40832,0.9,0.73,0.13,0,5.54,735
3,48319.35,9.29,97,6,46836,0.5,0.58,0.43,1,9.48,1564
0,38171.37,1.36,21,9,74953,0.23,0.16,0.29,0,0.0,2183
4,47563.25,3.62,57,9,14362,0.79,0.67,0.17,1,6.14,1968
4,35275.75,2.87,23,9,67745,0.81,0.13,0.29,1,0.0,1987
1,15253.58,3.14,91,5,38921,0.68,0.81,0.24,1,3.12,1927
0,5715.56,9.18,45,3,71434,0.87,0.99,0.73,0,6.89,1570
3,39200.28,5.21,44,4,19562,0.76,0.38,0.04,1,7.47,1113
2,32385.39,5.2,82,0,65510,0.89,0.44,0.62,1,2.85,2462
2,2885.21,7.85,88,6,77407,0.49,0.05,0.76,1,4.74,2305
3,18322.5,2.39,47,7,8610,0.77,0.01,0.48,0,5.29,2285
1,47861.59,5.39,40,8,93918,1.0,0.92,0.92,1,0.23,1541
2,25269.86,4.87,51,7,16791,0.75,0.13,0.7,0,7.35,1620
0,21920.09,6.37,42,4,59047,0.2,0.45,0.74,1,4.86,2374
1,23156.13,10.0,7,2,68906,0.57,0.82,0.2,1,8.09,1761
0,10839.69,7.93,50,9,20665,0.63,0.89,0.77,0,10.52,1651
4,18751.0,4.58,48,8,71246,0.26,0.52,0.83,0,1.56,1224
1,18805.76,8.45,84,5,66864,0.97,0.57,0.36,1,6.49,658
2,3091.57,2.54,91,4,47451,0.26,0.67,0.22,1,1.57,2173
1,38494.6,1.27,6,2,87148,0.26,0.96,0.39,1,0.0,1931
1,21116.97,2.84,91,5,46890,0.92,0.6,0.73,0,1.98,1682
1,41197.9,4.06,9,2,7794,0.52,0.56,0.42,0,7.31,1570
1,42592.23,5.6,57,9,33888,0.16,0.01,0.73,1,6.49,2456
0,10993.71,6.54,31,5,7749,0.64,0.08,0.12,1,10.2,1062
4,33039.0,9.2,21,3,47531,0.64,0.58,0.8,0,9.3,1540
3,23877.95,5.59,90,1,21608,0.16,0.94,0.26,0,7.71,753
1,44067.76,5.51,40,7,81986,0.98,0.87,0.25,1,1.56,1704
2,11179.16,1.45,45,3,70211,0.59,0.98,0.59,0,0.0,2355
1,34051.75,1.31,77,8,84996,0.6,0.53,0.08,1,0.0,2292
2,30583.73,5.96,49,6,57017,0.57,0.79,0.04,0,4.59,2019
0,15117.42,4.94,87,1,58676,0.65,0.84,0.27,1,3.24,1348
2,7261.74,8.55,20,3,12560,0.34,0.65,0.54,1,12.06,1397
3,32756.17,2.45,92,4,55401,0.36,0.34,0.9,1,0.67,931
4,37060.57,1.22,17,2,51468,0.56,0.47,0.84,0,0.0,728
2,16123.55,5.04,28,8,33463,0.83,0.86,0.49,1,5.88,564
2,32419.21,3.14,41,4,32663,0.14,0.3,0.05,1,3.75,1468
4,20058.98,1.45,66,1,69706,0.64,0.92,0.53,0,0.0,2322
3,35803.74,7.52,25,2,59773,0.83,0.23,0.7,1,6.12,714
1,10361.16,2.0,58,8,34123,0.24,0.75,0.34,1,2.28,1607
2,44565.64,6.47,41,6,95346,0.11,0.63,0.12,1,1.34,1467
4,14726.78,3.53,6,1,10718,0.38,0.75,0.28,0,6.4,1570
0,18705.41,2.56,75,8,63637,0.63,0.44,0.77,0,0.0,799
4,3375.55,4.42,38,3,1028,0.22,0.93,0.35,0,8.41,1669
0,6019.85,8.21,6,8,63370,0.48,0.63,0.81,0,6.57,1109
3,26035.16,4.53,45,1,48599,0.6,0.29,0.32,1,3.77,1042
1,13745.84,7.76,75,9,18397,0.64,0.64,0.17,0,10.55,1771
4,41856.27,2.13,14,3,46406,0.35,0.29,0.44,0,1.2,1052
2,1227.32,7.95,66,4,48657,0.46,0.29,0.45,0,7.74,2065
3,19265.16,3.13,40,1,68560,0.8,0.4,0.03,1,0.14,2278
4,17198.6,7.1,3,9,14503,0.95,0.85,0.12,1,10.17,2291
2,1456.72,6.09,99,0,55943,0.88,0.5,0.19,1,4.85,862
4,6656.24,9.36,97,6,76839,0.61,0.68,0.12,0,6.55,1224
0,20975.31,4.49,24,9,83674,0.47,0.39,0.34,1,0.21,1605
4,24896.8,1.6,19,0,26345,0.4,0.26,0.96,1,2.59,1026
4,20512.34,1.17,18,7,51390,0.21,0.95,0.51,0,0.0,1426
4,26781.42,8.44,64,2,96041,0.2,0.6,0.63,1,3.56,2438
3,29959.02,5.72,88,9,60557,0.72,0.93,0.36,0,3.95,1292
4,991.23,7.98,35,5,66054,0.33,0.2,0.33,0,6.03,1062
2,23472.71,3.11,62,6,2906,0.33,0.15,0.03,1,6.7,688
0,48193.21,4.11,1,9,41167,1.0,0.86,0.5,0,4.03,2220
0,26192.1,1.27,100,0,8961,0.27,0.68,0.48,0,3.95,1120
4,34038.34,9.65,25,5,27140,0.23,0.19,0.16,0,11.87,2465
3,15937.26,7.01,45,6,59701,0.19,0.27,0.76,0,5.54,685
3,38812.57,9.4,49,5,78567,0.62,0.8,0.49,0,6.43,1738
2,38759.61,3.39,98,3,81664,0.67,0.45,0.34,0,0.0,586
4,26304.15,6.5,89,0,82199,0.43,0.67,0.15,1,2.69,1441
0,48812.68,7.11,16,8,82218,0.58,0.32,0.55,0,3.4,2367
3,6714.74,3.86,98,3,81729,0.81,0.38,0.75,0,0.0,1869
4,1338.91,8.63,93,6,29561,0.84,0.99,0.29,0,10.44,2428
3,38622.83,9.52,19,6,51568,0.96,0.25,0.22,0,9.27,737
3,40454.2,8.96,23,1,74302,0.84,0.51,0.52,1,6.34,932
0,6450.26,7.65,83,0,96380,0.61,0.84,0.16,1,2.61,1190
1,13646.35,3.5,25,7,95968,0.26,0.24,0.66,0,0.0,1659
2,1368.84,3.53,16,7,30504,0.19,0.42,0.6,1,4.42,1626
2,15018.78,9.67,54,6,38146,0.15,0.62,0.1,0,10.79,1068
0,38770.52,1.09,73,7,41297,0.7,0.48,0.05,0,0.5,1864
3,26139.05,7.44,1,2,87394,0.83,0.46,0.62,0,3.26,1524
4,17730.73,7.36,42,1,69607,0.56,0.36,0.3,0,4.95,1667
3,18901.1,6.6,19,6,17939,0.15,0.59,0.09,1,9.25,1453
0,567.0,9.91,97,7,91467,0.58,0.62,0.75,1,5.73,1394
2,15340.13,3.81,34,0,51715,0.94,0.65,0.32,0,2.62,2254
3,32499.71,4.06,80,9,45460,0.64,0.07,0.46,0,3.54,545
2,48722.62,1.71,55,8,67576,0.83,0.63,0.24,1,0.0,958
4,42429.51,4.99,18,3,69222,0.82,0.95,0.62,1,2.24,2235
2,1667.95,3.35,34,3,13666,0.94,0.54,0.31,0,5.9,1266
2,44978.75,4.09,89,2,63119,0.79,0.72,0.96,1,1.8,1900
1,39268.32,8.51,45,5,36321,0.77,0.56,0.7,0,9.63,709
1,39128.62,9.42,6,0,2779,0.31,0.85,0.14,1,14.05,639
1,23170.79,2.67,21,5,14186,0.15,0.93,0.42,1,5.06,1733
2,20201.26,4.35,70,1,17459,0.57,0.18,0.39,1,6.68,1007
0,15494.33,9.36,96,8,87246,0.21,0.44,0.53,1,5.51,1696
2,3751.9,1.56,48,1,88755,0.97,0.39,0.84,0,0.0,1357
0,11797.65,1.83,39,6,6057,0.36,0.41,0.58,0,4.9,2178
0,12706.88,2.47,31,0,61663,0.87,0.13,0.07,1,0.06,1663
1,24461.81,6.36,10,6,19733,0.45,0.81,0.65,0,8.79,1289
3,37498.5,2.35,30,4,20157,0.39,0.04,0.02,1,4.09,1002
4,23953.59,9.71,18,7,36030,0.94,0.53,0.77,1,11.05,1289
1,3363.3,5.02,60,3,20613,0.43,0.66,0.66,0,7.14,1853
1,47910.6,5.51,88,9,84028,0.45,0.21,0.31,0,1.36,1497
3,47164.85,3.22,73,6,87282,0.2,0.91,0.3,0,0.0,2375
4,39366.88,5.24,95,5,6188,0.7,0.84,0.79,1,8.85,1546
2,49570.73,6.96,15,4,30680,0.36,0.47,0.78,0,8.39,1668
2,27451.88,7.76,4,3,61119,0.63,0.41,0.36,0,6.27,2363
1,48157.03,7.78,63,6,75400,0.63,0.24,0.3,0,4.86,687
4,4242.45,6.2,40,4,56718,0.75,0.73,0.56,0,4.9,927
1,18601.2,9.14,9,4,37445,0.77,0.13,0.02,1,10.25,724
0,11656.37,8.36,9,0,6796,0.56,0.68,0.09,1,12.41,1810
1,10193.74,7.81,26,1,48218,0.4,0.84,0.13,1,7.62,1186
1,7469.75,1.5,4,4,40131,0.85,0.23,0.19,1,1.1,2302
2,31309.48,1.06,81,2,9123,0.38,0.87,0.51,1,3.69,1597
2,39175.43,2.91,16,1,9222,0.56,0.03,0.98,1,5.83,925
2,29125.77,6.97,15,3,25074,0.46,0.91,0.65,1,8.96,2260
0,7774.65,4.7,99,3,30825,0.87,0.12,0.07,0,5.75,2109
2,40650.63,4.62,52,3,37839,0.49,0.65,0.53,1,4.95,604
4,31979.76,8.96,69,3,69322,0.45,0.25,0.5,1,6.84,650
3,19714.2,9.06,5,2,57321,0.72,0.84,0.15,1,8.16,601
4,33869.45,9.18,20,6,26988,0.64,0.51,0.91,1,11.34,2421
4,13365.3,3.82,79,8,36507,0.2,0.14,0.44,0,4.16,663
2,17587.01,7.22,18,4,99644,0.56,0.57,0.98,1,1.78,1128
3,45915.55,3.44,2,3,96251,0.76,0.41,0.42,1,0.0,1950
3,14879.97,2.72,93,1,24806,0.99,0.66,0.61,0,4.05,1363
3,23764.42,2.66,13,1,37901,0.67,0.88,0.11,1,2.67,2055
0,44561.99,4.08,4,4,18043,0.43,0.41,0.46,1,6.31,1026
2,35532.21,4.87,42,6,76761,0.3,0.29,0.24,1,1.34,2123
3,3579.06,8.48,74,9,10752,0.89,0.01,0.83,1,12.16,664
0,7791.5,2.08,61,9,69993,0.83,0.57,0.78,1,0.0,576
1,888.16,7.61,95,8,43616,0.31,0.4,0.82,1,7.85,2321
1,31730.63,5.78,8,6,53127,0.28,0.37,0.72,1,4.77,1499
0,22659.83,3.59,67,4,75777,0.74,0.18,0.83,0,0.0,2169
0,7146.61,5.44,63,9,1453,0.38,0.43,0.21,0,9.55,2175
2,47917.74,3.7,9,9,76432,0.38,0.98,0.45,1,0.01,2412
2,26718.16,6.36,94,9,88362,0.24,0.3,0.69,0,1.91,780
1,12473.72,4.9,11,5,11976,0.34,0.6,0.63,1,7.87,2180
3,25279.88,2.48,99,2,71404,0.48,0.78,0.71,0,0.0,1236
1,34141.21,2.05,42,4,82932,0.76,0.75,0.23,1,0.0,2399
3,4273.84,5.92,13,7,98170,0.4,0.33,0.11,0,0.41,2427
3,14097.84,9.12,36,0,78707,0.4,0.61,0.91,1,6.09,1089
2,40444.79,4.1,13,0,90647,0.36,0.87,0.56,0,0.0,1283
4,23253.41,7.6,12,6,34688,0.53,0.02,0.16,0,8.73,2465
4,27555.57,6.93,37,4,87840,0.26,0.44,0.79,1,2.62,1976
0,21924.39,9.38,74,4,94789,0.54,0.22,0.91,1,4.78,1073
2,2673.05,8.39,73,0,97516,0.73,0.39,0.18,0,3.35,1852
3,8704.61,6.1,52,8,3017,0.13,0.42,0.81,0,10.16,1448
4,22554.31,6.91,71,0,8957,0.11,0.75,0.92,1,10.51,1107
3,10854.68,9.09,2,4,5792,0.17,0.09,0.93,0,13.36,1899
4,2973.96,4.6,56,9,56982,0.58,0.51,0.91,1,3.01,2382
4,42260.66,3.94,60,8,14237,0.87,0.56,0.55,0,6.53,2483
4,49069.03,1.1,23,3,52586,0.1,0.49,0.36,0,0.0,575
2,39760.57,8.44,40,7,82787,0.94,0.73,0.02,1,4.89,1443
1,42762.35,8.21,64,5,20252,0.2,0.38,0.07,1,10.89,1624
3,12477.87,1.94,85,2,11707,0.86,0.94,0.43,1,4.46,1230
2,48051.04,6.19,23,3,35206,0.53,0.48,0.4,0,7.04,787
2,10247.82,5.18,29,1,95276,0.69,0.57,0.19,0,0.0,882
2,47595.78,2.07,78,0,4543,0.56,0.83,0.4,0,5.33,2132
2,49743.56,9.83,90,7,45135,0.53,0.28,0.18,1,10.28,2152
2,35730.28,2.93,51,0,36031,0.85,0.08,0.84,0,3.17,1810
0,49066.61,1.61,69,0,43929,0.78,0.71,0.3,0,0.84,1164
3,28692.22,6.35,95,3,66747,0.54,0.48,0.6,1,4.07,1269
2,13347.32,7.65,89,9,58851,0.2,0.9,0.5,0,6.37,1845
3,22131.3,1.29,31,9,56311,0.2,0.98,0.06,0,0.0,1536
0,29881.27,6.93,50,5,66867,0.82,0.4,0.93,1,4.73,1457
0,4117.54,5.79,20,8,89780,0.58,0.42,0.53,1,1.1,1167
3,31305.99,1.93,55,0,58196,0.53,0.41,0.33,1,0.0,1318
4,49068.3,2.55,81,6,74705,0.71,0.32,0.16,1,0.0,1863
1,9910.33,6.11,2,9,58894,0.87,0.78,0.34,1,4.57,1138
4,39733.46,3.67,25,4,88640,0.67,0.76,0.03,1,0.0,2388
4,45440.99,9.44,13,7,15591,0.79,0.48,0.37,1,12.79,1335
4,47213.23,8.37,92,6,98247,0.79,0.04,0.53,1,3.26,1732
2,48026.71,9.85,70,3,49893,0.42,0.31,0.86,1,9.82,1212
0,26312.25,3.34,67,3,1727,0.35,0.29,0.68,0,7.08,2378
4,48876.74,9.73,58,5,22359,0.82,0.81,0.12,1,12.44,1914
0,37986.86,4.88,99,5,44822,0.44,0.09,0.15,1,4.55,714
3,8502.74,4.13,82,8,89534,0.91,0.81,0.43,0,0.0,2119
1,24106.56,1.45,75,4,11929,0.16,0.67,0.2,1,3.86,2093
3,36057.39,1.47,84,7,61091,0.15,0.73,0.04,0,0.0,2146
3,12743.35,7.23,64,4,81378,0.93,0.43,0.8,0,3.62,2214
2,32210.45,5.12,69,1,24519,0.68,0.68,0.03,1,6.87,1511
1,33496.72,3.04,83,5,18393,0.44,0.61,0.82,0,5.07,1074
3,8553.64,6.53,86,8,35318,0.78,0.77,0.15,1,7.43,1251
3,28471.72,3.28,59,2,75531,0.71,0.45,0.97,1,0.0,1452
1,38695.53,6.2,60,0,95192,0.58,0.47,0.6,0,1.04,1958
1,25195.34,4.23,83,0,48934,0.19,0.64,0.73,0,3.39,1402
3,1099.1,8.41,62,2,82103,0.83,0.11,0.12,0,4.92,1144
1,947.4,8.39,16,9,29840,0.88,0.44,0.85,1,10.14,940
3,18172.95,5.3,88,4,90367,0.25,0.97,0.83,1,0.48,1892
3,46346.61,4.16,68,2,14265,0.87,0.04,0.65,0,6.78,1770
2,11819.5,4.26,15,8,6424,0.89,0.32,0.5,1,7.68,1429
4,31901.0,8.25,89,7,21625,0.59,0.31,0.72,1,10.8,689
3,11492.76,3.95,55,2,80622,0.69,0.63,0.02,0,0.0,1770
0,16422.66,2.88,35,8,30187,0.44,0.11,0.59,0,3.7,796
4,42478.08,1.76,55,5,36929,0.35,0.63,0.84,0,1.72,1158
4,36578.64,5.2,14,6,62892,0.75,0.1,0.36,0,3.11,1432
4,5222.26,5.34,49,3,21539,0.88,0.09,0.12,0,7.42,2398
2,21720.75,8.57,83,3,57630,0.69,0.73,0.42,0,7.56,1950
3,1943.9,2.99,100,1,91639,0.56,0.32,0.72,0,0.0,1732
2,24304.06,4.43,7,4,94410,0.24,0.98,0.12,0,0.0,2168
3,33290.48,8.28,30,7,10215,0.15,0.04,0.21,0,11.98,2279
2,6365.88,8.41,83,6,40385,0.5,0.45,0.15,0,9.1,731
2,14799.8,4.46,49,6,88580,0.14,0.11,0.79,1,0.0,1108
0,20192.91,5.13,89,5,78462,0.61,0.35,0.07,1,1.47,2106
2,46016.79,3.73,16,2,98037,0.44,1.0,0.68,0,0.0,1367
1,49666.12,9.39,51,4,96310,0.78,0.89,0.37,1,4.64,2363
0,2723.11,2.07,72,0,26008,0.38,0.05,0.75,1,3.17,1778
2,38169.89,9.4,82,6,49928,0.63,0.56,0.96,1,9.3,2246
4,18900.34,7.15,92,8,84096,0.58,0.65,0.12,1,3.26,2169
1,19926.68,5.78,80,0,90876,0.1,0.21,0.32,1,0.98,1122
1,37836.12,1.29,83,1,25976,0.17,0.15,0.8,1,2.27,2400
1,45962.11,5.28,42,2,28626,0.36,0.9,0.27,0,6.64,776
0,47570.97,4.67,17,2,99256,0.89,0.97,0.22,0,0.0,1401
2,29067.57,2.45,63,7,60789,0.23,0.99,0.82,1,0.13,1991
2,18177.5,6.91,45,6,5700,0.74,0.79,0.98,1,10.84,2083
4,39483.68,9.74,77,5,64645,0.98,0.66,0.56,0,8.22,722
4,12924.57,6.06,7,9,74396,0.81,0.35,0.28,1,2.96,1216
1,28421.66,7.43,27,9,8526,0.32,0.17,0.4,1,11.16,2479
4,18249.63,1.62,10,3,40500,0.92,0.08,0.18,1,1.2,2069
0,33003.24,4.76,34,8,69049,0.18,0.69,0.76,1,1.99,1620
2,12399.75,2.05,36,0,74366,0.52,0.78,0.77,1,0.0,1165
1,9983.85,6.52,25,1,81317,0.9,0.83,0.87,0,2.8,1949
4,45952.83,9.45,6,3,60117,0.68,0.91,0.04,0,8.33,1198
0,5539.28,6.96,24,2,57096,0.47,0.88,0.56,1,5.74,2310
0,25544.92,1.69,18,0,8910,0.36,1.0,0.22,0,4.45,1753
4,11432.21,4.19,87,4,82383,0.44,0.24,0.34,1,0.0,1698
2,2427.03,5.96,6,6,72185,0.56,0.76,0.78,1,3.07,2022
4,2282.93,4.63,29,1,51248,0.39,0.59,0.2,1,3.62,2205
1,9173.48,8.5,25,4,75656,0.97,0.26,0.64,1,5.67,1470
4,43405.13,8.33,55,5,2951,0.94,0.98,0.65,1,12.76,725
0,14482.7,6.51,81,6,66212,0.88,0.9,0.95,1,4.3,2467
4,47547.73,4.36,46,0,76701,0.48,0.13,0.77,1,0.75,1976
2,29290.3,3.3,24,6,80888,0.72,0.03,0.8,1,0.0,2216
3,22112.4,1.95,75,3,76282,0.91,0.69,0.53,1,0.0,1018
4,29214.4,4.19,26,7,95533,0.87,0.6,0.19,0,0.0,2438
2,26076.57,4.72,98,3,42954,0.47,0.94,0.43,1,4.56,1422
2,38059.42,7.08,28,5,90719,0.2,0.23,0.55,0,2.51,668
0,14483.56,6.92,3,8,9804,0.17,0.08,0.67,0,10.44,1863
2,17975.99,1.63,75,4,93705,0.62,0.26,0.61,1,0.0,691
2,44757.67,4.56,38,3,1595,0.68,0.02,0.4,0,8.52,840
2,47349.6,2.64,61,7,30592,0.86,0.04,0.27,1,3.38,547
2,44681.63,2.41,78,8,41643,0.36,0.91,0.17,1,2.0,1632
1,21262.68,8.45,51,3,63665,0.25,0.35,0.69,1,6.82,2131
1,39128.09,1.38,90,2,21823,0.44,0.41,0.64,1,2.79,1681
0,24078.62,4.77,48,7,6972,0.42,0.02,0.68,0,8.22,2149
4,25128.22,2.51,21,4,16882,0.22,0.27,0.38,0,4.6,2280
2,10631.67,8.91,54,1,67394,0.71,0.8,0.27,1,6.98,2483
4,29760.95,6.01,56,9,72055,0.56,0.62,0.75,0,3.14,1510
4,9713.73,3.08,94,8,24769,0.75,0.75,0.77,0,4.47,831
0,16912.45,5.52,59,2,26020,0.42,0.45,0.46,0,7.18,2465
2,42823.99,7.58,72,1,43748,0.39,0.31,0.61,1,7.8,897
2,10750.25,9.62,51,0,86374,0.53,0.48,0.38,0,5.9,2407
3,4022.34,2.98,20,7,45912,0.89,0.32,0.7,0,2.24,1379
4,3915.88,8.98,96,2,13879,0.14,0.84,0.83,0,12.42,910
4,47068.83,9.41,86,6,34798,0.82,0.3,0.68,1,10.83,2458
1,25592.56,9.25,59,0,90826,0.43,0.66,0.51,0,5.02,971
3,20765.9,6.72,71,0,47073,0.87,0.14,0.46,0,6.47,951
1,40638.49,6.67,9,8,76791,0.82,0.69,0.64,1,3.43,687
1,41873.38,4.63,1,7,67983,0.41,0.91,0.68,0,1.94,1728
1,16943.46,7.77,29,2,44005,0.72,0.61,0.56,1,8.0,1155
0,34834.09,5.78,63,5,95731,0.24,0.56,0.62,1,0.5,2258
0,38670.58,7.1,72,2,3850,0.91,0.96,0.1,1,11.24,1421
1,32905.21,4.86,56,3,29400,0.46,0.63,0.94,1,6.08,1016
3,8003.96,7.58,68,0,12953,0.51,0.26,0.78,1,10.89,1543
4,43856.21,8.42,35,4,24535,0.74,0.29,0.38,1,10.7,853
3,27185.18,2.32,3,0,76536,0.84,0.71,0.56,0,0.0,1124
2,14482.39,8.5,7,0,76039,0.31,0.74,0.06,1,5.63,1541
0,21548.8,5.86,27,9,82029,0.7,0.3,0.05,0,1.96,815
4,2359.77,8.6,1,6,5055,0.45,0.35,0.26,0,12.87,1119
4,6829.41,4.88,91,5,39170,0.43,0.99,0.69,1,5.12,2214
2,38394.56,4.41,80,1,98944,0.72,0.1,0.85,0,0.0,2123
2,500.58,9.24,71,1,29251,0.45,0.4,0.56,0,11.18,1099
1,21120.01,3.26,44,6,5532,0.41,0.06,0.53,0,6.61,1904
